title,description,context,persona,crm_only,idea,resources,insights,effort,effectiveness
Customer success team,Hire dedicated person/s within Audi to manage the customer relationship proactively. Customers get the CSM's direct number.,All,All,Yes,Bold,"_ New hire/s
_ Customer support management system (e.g. desk.com)
_ Dedicated phone #
_ Customer comms/awareness campaign","_ Any customer issue (customer can call, follow up with customer)
_ Follow up on test drive experience
_ Book second delivery
_ Follow up after issue/frequent service/complaint",8,10
Call centre scripts,Engaging scripts used by call centre staff that allign with the Audi brand.,All,All,No,Operational ,"_ Call centre tone and voice
_ Map calls
_ Script writing
_ Education",NA,6,9
Fleet management integration,Integrate telekematics with key fleet management software.,Service,None,No,Bold,_ Analys fleet tools/users - larger program,NA,10,9
Voice of customer program,"Customer insights based on social media, ARMs, phone calls.",All,All,Yes,Operational ,"_ Social media listening (tool & staff)
_ Analysis & reporting
",NA,5,6
SUS analysis,Competitor benchmarking (vehicle like-for-like) using System Usability Score.,Affiliating,All,Yes,Operational ,"_ Questionaire 
_ Respondent engagement
_ Analysis",NA,4,4
Mystery shopping and ideation,Quarterly e2e review of best/worst performing dealership experience + competitor review.,Buy,All,Yes,Operational ,"_ Audi internal permission/co-ordination
_ Research & ideation time
_ Travel expenses ",NA,3,8
Data enrichment,Fill in the blanks for missing data within SF.,All,All,Yes,Operational ,"_ Identify missing customer data
_ Execute enrichment program (email/phone)",NA,7,5
Simple sign up,"Ability to sign up to email by sending an email to signup@audi.com.au. This can be the key CTA on TVCs, print ads etc.",Affiliating,All,No,Customer data,"_ Dedicated email
_ Internal process update (all advertising must have CTA)",_ See an Audi ad and am interested,1,6
Dealership search apperance,"Optimise search result titles, meta descriptions, CTAs etc.",Researching,All,No,Brand quality,"_ Search audit
_ Revised dealership strategy
_ Execution",_ Begin my car research,4,3
Audi magazine reuse,Syndicate Audi magazine into email and blog,Affiliating,All,No,Brand quality,"_ Revised (slightly) process for Audi magazine content production
_ Tagging structure for content (for segmentation purposes)
_ Blog",_ Signed up for information from Audi,3,7
ID profile pic from email,Find a publicly available image of the user given their email address.,Affiliating,All,Yes,Customer data,_ Identify & immplement technical solution,_ Signed up for information from Audi,2,2
Configure car stereo system,Immersive car stereo configurator,Researching,Trent Mansfield,No,Brand quality,"_ Engage with partner e.g. B&O
_ Ideation and execution",_ Researching car options/features,7,5
Niche press coverage,"Coverage in car magazines/websites, by auto-influencers.",Affiliating,Trent Mansfield,No,Content,_ PR - identify influencers and engage,_ Browsing car sites/influencers I engage with,4,6
Automotive thought leadership content,"Give insight into Audi's vision of the future, concept cars newest discoveries, interviews with engineers.",Affiliating,Trent Mansfield,No,Content,_ Content ideation/creation,_ Browsing car sites/influencers I engage with,2,5
Family content,Travel desinations etc.,Affiliating,Suki and Ian,No,Content,_ Content ideation/creation,_ Discover through my social feed,2,3
Aspiration content,"Car porn, celebrities driving Audis, friends Pinning/Instagraming Audis.",Affiliating,Jane Phillips,No,Content,_ Content ideation/creation,_ Discover through my social feed,2,4
Awards ,Mainstream  press on awards won,Affiliating,Mark Long,No,Content,_ Content ideation/creation,_ Discover through my social feed,2,4
Online pre-approval ,"Confirm pre-approval of finance instantly with ""phone call to come in x minutes""",Researching,All,No,Money,"_ Business logic from finance
_ Online approval form
_ Notification to finance
_ Processing/follow up (finance or CSM)","_ Researching model, ready to move to next stage (shortlist), validating finance opts",4,6
Options recommendations ,"Recommend model, options and finance with personality traits of driver. ",Researching,All,No,Added service,"_ Personality scoring tool e.g. traitafy
_ Initial, MVP matching algorithm
_ Recommendation tool implemented on site",_ Which model/options/finance is right for me?,4,7
Prospect scoring,Score perpensity to purchase based on site behaviour & Audi interaction history.,Researching,All,No,Operational ,"_ End-to-end customer purchasing data in SF
_ Look to model correlation between behaviour and perpensity to purchase
_ Given model accuracy, productionize model
_ Increase/decrease service based on likelihood to purchase",_ Converting from a prospect to a lead,6,4
Auto site reviews,"Reviews on Audi, non-Audi sites.",Researching,Trent Mansfield,No,Brand quality,_ Ideation on encouraging customers to create/leave reviews,_ What do other Audi drivers think of this model?,3,6
Interactive brochure,"Deeply interact with brochure based on interests/needs, tech specs, the experience, owner reviews etc.",Researching,All,No,Brand quality,"_ UX research/design of modern interactive brochure
_ Immplementation, production",_ What are the car's details,5,8
